id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,24,0.35,camp,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,1.3,0.2,yes,B
2,29,0.57,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,no,A
3,34,0.79,rural,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,yes,B
4,39,0.22,camp,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,no,A
5,44,0.99,urban,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,yes,B
6,49,0.43,rural,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,no,A
7,54,0.65,camp,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,yes,B
8,59,0.87,urban,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,no,A
9,64,0.30,rural,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,yes,B
10,69,0.52,camp,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,no,A

11,26,0.32,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,B
12,31,0.54,rural,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,A
13,36,0.76,camp,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,B
14,41,0.18,urban,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,A
15,46,0.94,rural,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,B
16,51,0.36,camp,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,A
17,56,0.58,urban,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,B
18,61,0.80,rural,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,A
19,66,0.23,camp,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,B
20,71,0.45,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,no,A
[... 480 more records, ids 21-500, with varied but realistic values ...]
