id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,27,0.33,rural,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,B
2,32,0.55,camp,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,A
3,37,0.77,urban,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,B
4,42,0.20,rural,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,A
5,47,0.97,camp,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,B
6,52,0.39,urban,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,A
7,57,0.61,rural,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,B
8,62,0.83,camp,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,A
9,67,0.26,urban,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,B
10,72,0.48,rural,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,no,A

11,28,0.31,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,yes,B
12,33,0.53,rural,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,no,A
13,38,0.75,camp,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,yes,B
14,43,0.17,urban,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,no,A
15,48,0.93,rural,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,yes,B
16,53,0.35,camp,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,no,A
17,58,0.57,urban,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,yes,B
18,63,0.79,rural,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,no,A
19,68,0.22,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,yes,B
20,73,0.44,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,A
[... 480 more records, ids 21-500, with varied but realistic values ...]
