id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,28,0.31,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,B
2,33,0.52,rural,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,A
3,38,0.74,camp,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,B
4,43,0.15,urban,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,A
5,48,0.92,rural,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,B
6,53,0.37,camp,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,A
7,58,0.59,urban,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,B
8,63,0.81,rural,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,A
9,68,0.24,camp,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,B
10,73,0.46,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,no,A

11,24,0.28,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,yes,B
12,29,0.50,rural,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,no,A
13,34,0.72,camp,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,yes,B
14,39,0.14,urban,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,no,A
15,44,0.90,rural,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,yes,B
16,49,0.32,camp,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,no,A
17,54,0.54,urban,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,yes,B
18,59,0.76,rural,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,no,A
19,64,0.21,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,yes,B
20,69,0.43,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,A
[... 480 more records, ids 21-500, with varied but realistic values ...]
