id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,26,0.41,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
2,31,0.63,rural,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
3,36,0.85,camp,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
4,41,0.18,urban,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
5,46,0.95,rural,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
6,51,0.37,camp,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
7,56,0.59,urban,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
8,61,0.81,rural,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
9,66,0.24,camp,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
10,71,0.46,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,no,B

11,27,0.29,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,A
12,32,0.51,rural,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,B
13,37,0.73,camp,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,A
14,42,0.15,urban,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,B
15,47,0.91,rural,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,A
16,52,0.33,camp,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,B
17,57,0.55,urban,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,A
18,62,0.77,rural,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,B
19,67,0.20,camp,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,A
20,72,0.42,urban,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,no,B
[... 480 more records, ids 21-500, with varied but realistic values ...]
