id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,21,0.27,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,B
2,26,0.49,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,A
3,31,0.71,rural,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,B
4,36,0.14,camp,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,A
5,41,0.91,urban,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,B
6,46,0.35,rural,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,A
7,51,0.57,camp,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,B
8,56,0.79,urban,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,A
9,61,0.22,rural,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,B
10,66,0.44,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,no,A

11,21,0.27,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,1.0,0.2,yes,B
12,26,0.49,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,no,A
13,31,0.71,rural,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,yes,B
14,36,0.14,camp,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,no,A
15,41,0.91,urban,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,yes,B
16,46,0.35,rural,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,no,A
17,51,0.57,camp,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,yes,B
18,56,0.79,urban,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,no,A
19,61,0.22,rural,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,yes,B
