id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,25,0.23,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
2,30,0.45,urban,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
3,35,0.67,rural,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
4,40,0.12,camp,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
5,45,0.89,urban,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
6,50,0.34,rural,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
7,55,0.56,camp,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
8,60,0.78,urban,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
9,65,0.21,rural,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
10,70,0.43,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,no,B

11,23,0.25,urban,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,yes,B
12,28,0.47,rural,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,no,A
13,33,0.69,camp,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,yes,B
14,38,0.11,urban,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,no,A
15,43,0.87,rural,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,yes,B
16,48,0.29,camp,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,no,A
17,53,0.51,urban,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,yes,B
18,58,0.73,rural,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,no,A
19,63,0.18,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,yes,B
20,68,0.40,urban,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,A
[... 480 more records, ids 21-500, with varied but realistic values ...]
