id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,20,0.25,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
2,25,0.47,urban,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
3,30,0.69,rural,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
4,35,0.11,camp,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
5,40,0.87,urban,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
6,45,0.29,rural,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
7,50,0.51,camp,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
8,55,0.73,urban,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
9,60,0.18,rural,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
10,65,0.40,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,no,B

11,20,0.25,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
12,25,0.47,urban,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
13,30,0.69,rural,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
14,35,0.11,camp,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
15,40,0.87,urban,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
16,45,0.29,rural,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
17,50,0.51,camp,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
18,55,0.73,urban,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
19,60,0.18,rural,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
20,65,0.40,camp,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,no,B
[... 480 more records, ids 21-500, with varied but realistic values ...]
