id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,22,0.29,rural,0.6,0.7,0.8,0.5,0.4,0.3,0.2,0.1,0.9,0.6,1.1,0.4,yes,A
2,27,0.51,camp,0.5,0.6,0.7,0.4,0.3,0.2,0.1,0.9,0.8,0.5,1.0,0.5,no,B
3,32,0.73,urban,0.4,0.5,0.6,0.3,0.2,0.1,0.9,0.8,0.7,0.4,0.9,0.6,yes,A
4,37,0.18,rural,0.3,0.4,0.5,0.2,0.1,0.9,0.8,0.7,0.6,0.3,0.8,0.7,no,B
5,42,0.95,camp,0.2,0.3,0.4,0.1,0.9,0.8,0.7,0.6,0.5,0.2,0.7,0.8,yes,A
6,47,0.40,urban,0.1,0.2,0.3,0.9,0.8,0.7,0.6,0.5,0.4,0.1,0.6,0.9,no,B
7,52,0.62,rural,0.9,0.1,0.2,0.8,0.7,0.6,0.5,0.4,0.3,0.9,0.5,1.0,yes,A
8,57,0.84,camp,0.8,0.9,0.1,0.7,0.6,0.5,0.4,0.3,0.2,0.8,0.4,1.1,no,B
9,62,0.27,urban,0.7,0.8,0.2,0.6,0.5,0.4,0.3,0.2,0.1,0.7,0.3,1.2,yes,A
10,67,0.49,rural,0.6,0.7,0.3,0.5,0.4,0.3,0.2,0.1,0.9,0.6,0.2,1.3,no,B

11,25,0.30,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.6,0.9,0.3,yes,A
12,30,0.52,rural,0.5,0.6,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.5,0.8,0.4,no,B
13,35,0.74,camp,0.4,0.5,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.4,0.7,0.5,yes,A
14,40,0.16,urban,0.3,0.4,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.3,0.6,0.6,no,B
15,45,0.92,rural,0.2,0.3,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.5,0.7,yes,A
16,50,0.34,camp,0.1,0.2,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.1,0.4,0.8,no,B
17,55,0.56,urban,0.9,0.1,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.9,0.3,0.9,yes,A
18,60,0.78,rural,0.8,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.8,0.2,1.0,no,B
19,65,0.21,camp,0.7,0.8,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.7,0.1,1.1,yes,A
20,70,0.43,urban,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
[... 480 more records, ids 21-500, with varied but realistic values ...]
