id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,29,0.39,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
2,34,0.61,rural,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
3,39,0.83,camp,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
4,44,0.16,urban,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
5,49,0.93,rural,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
6,54,0.41,camp,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
7,59,0.63,urban,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
8,64,0.85,rural,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
9,69,0.28,camp,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
10,74,0.50,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.3,1.2,no,B

11,29,0.39,urban,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,1.2,0.3,yes,A
12,34,0.61,rural,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,1.1,0.4,no,B
13,39,0.83,camp,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,1.0,0.5,yes,A
14,44,0.16,urban,0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.9,0.6,no,B
15,49,0.93,rural,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.8,0.7,yes,A
16,54,0.41,camp,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.7,0.8,no,B
17,59,0.63,urban,0.2,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.6,0.9,yes,A
18,64,0.85,rural,0.1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,no,B
19,69,0.28,camp,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.9,0.4,1.1,yes,A
